Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agra,2016 - 2017,0,0.000,0.00,0,0,0,0,8,66.800,"5,572.48",0,8,66.800,"5,572.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,286,389.530,"4,728.72",110,185,0,0,98,931.520,"52,810.61",0,384,"1,321.050","57,539.33",0.00,0,0.000,"3,837.60",0,0,0,0,3,29.675,"1,800.87",3,29.675,"5,638.47",272,369.636,"3,849.62",110,171,0,0,4,46.125,"2,146.63",0,276,415.761,"5,996.25",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agra,2018 - 2019,0,0.000,0.00,0,0,0,0,2,14.700,"1,472.02",0,2,14.700,"1,472.02",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,286,389.530,"4,728.72",110,185,0,0,98,931.520,"52,810.61",0,384,"1,321.050","57,539.33",0.00,0,0.000,"3,837.60",0,0,0,0,3,29.675,"1,800.87",3,29.675,"5,638.47",272,369.636,"3,849.62",110,171,0,0,4,46.125,"2,146.63",0,276,415.761,"5,996.25",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agra,2020 - 2021,0,0.000,0.00,0,0,0,0,4,25.750,"1,561.29",0,4,25.750,"1,561.29",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,286,389.530,"4,728.72",110,185,0,0,98,931.520,"52,810.61",0,384,"1,321.050","57,539.33",0.00,0,0.000,"3,837.60",0,0,0,0,3,29.675,"1,800.87",3,29.675,"5,638.47",272,369.636,"3,849.62",110,171,0,0,4,46.125,"2,146.63",0,276,415.761,"5,996.25",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agra,2021 - 2022,0,0.000,0.00,0,0,0,0,43,367.770,"29,266.31",0,43,367.770,"29,266.31",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,286,389.530,"4,728.72",110,185,0,0,98,931.520,"52,810.61",0,384,"1,321.050","57,539.33",0.00,0,0.000,"3,837.60",0,0,0,0,3,29.675,"1,800.87",3,29.675,"5,638.47",272,369.636,"3,849.62",110,171,0,0,4,46.125,"2,146.63",0,276,415.761,"5,996.25",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Aligarh,2000 - 2001,43,78.350,317.89,31,20,0,0,16,23.700,39.23,0,59,102.050,357.12,0.00,0,0.000,317.89,0,0,0,0,0,0.000,39.23,0,0.000,357.12,43,78.350,317.89,31,20,0,0,16,23.700,39.23,0,59,102.050,357.12,Total,150,248.065,"3,579.33",69,79,0,0,104,883.700,"43,238.16",0,254,"1,131.765","46,817.49",0.00,0,0.000,"3,464.06",0,0,0,0,1,18.000,"1,793.03",1,18.000,"5,257.09",146,241.770,"3,468.66",69,75,0,0,19,69.950,"2,098.27",0,165,311.720,"5,566.93",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Aligarh,2001 - 2002,17,22.750,356.99,15,6,0,0,0,0.000,0.00,0,17,22.750,356.99,0.00,0,0.000,358.21,0,0,0,0,0,0.000,0.00,0,0.000,358.21,17,22.750,358.21,15,6,0,0,0,0.000,0.00,0,17,22.750,358.21,Total,150,248.065,"3,579.33",69,79,0,0,104,883.700,"43,238.16",0,254,"1,131.765","46,817.49",0.00,0,0.000,"3,464.06",0,0,0,0,1,18.000,"1,793.03",1,18.000,"5,257.09",146,241.770,"3,468.66",69,75,0,0,19,69.950,"2,098.27",0,165,311.720,"5,566.93",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Aligarh,2003 - 2004,18,39.610,661.96,3,3,0,0,0,0.000,0.00,0,18,39.610,661.96,0.00,0,0.000,665.97,0,0,0,0,0,0.000,0.00,0,0.000,665.97,18,39.610,665.97,3,3,0,0,0,0.000,0.00,0,18,39.610,665.97,Total,150,248.065,"3,579.33",69,79,0,0,104,883.700,"43,238.16",0,254,"1,131.765","46,817.49",0.00,0,0.000,"3,464.06",0,0,0,0,1,18.000,"1,793.03",1,18.000,"5,257.09",146,241.770,"3,468.66",69,75,0,0,19,69.950,"2,098.27",0,165,311.720,"5,566.93",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Aligarh,2004 - 2005,46,57.450,"1,105.49",18,31,0,0,0,0.000,0.00,0,46,57.450,"1,105.49",0.00,0,0.000,"1,116.81",0,0,0,0,0,0.000,0.00,0,0.000,"1,116.81",46,57.240,"1,116.81",18,31,0,0,0,0.000,0.00,0,46,57.240,"1,116.81",Total,150,248.065,"3,579.33",69,79,0,0,104,883.700,"43,238.16",0,254,"1,131.765","46,817.49",0.00,0,0.000,"3,464.06",0,0,0,0,1,18.000,"1,793.03",1,18.000,"5,257.09",146,241.770,"3,468.66",69,75,0,0,19,69.950,"2,098.27",0,165,311.720,"5,566.93",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Aligarh,2005 - 2006,26,49.905,"1,137.00",2,19,0,0,4,61.200,"1,723.95",0,30,111.105,"2,860.95",0.00,0,0.000,"1,005.18",0,0,0,0,1,18.000,"1,409.69",1,18.000,"2,414.87",22,43.820,"1,009.78",2,15,0,0,3,46.250,"1,460.41",0,25,90.070,"2,470.19",Total,150,248.065,"3,579.33",69,79,0,0,104,883.700,"43,238.16",0,254,"1,131.765","46,817.49",0.00,0,0.000,"3,464.06",0,0,0,0,1,18.000,"1,793.03",1,18.000,"5,257.09",146,241.770,"3,468.66",69,75,0,0,19,69.950,"2,098.27",0,165,311.720,"5,566.93",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Aligarh,2006 - 2007,0,0.000,0.00,0,0,0,0,6,65.910,"1,922.95",0,6,65.910,"1,922.95",0.00,0,0.000,0.00,0,0,0,0,0,0.000,344.11,0,0.000,344.11,0,0.000,0.00,0,0,0,0,0,0.000,598.63,0,0,0.000,598.63,Total,150,248.065,"3,579.33",69,79,0,0,104,883.700,"43,238.16",0,254,"1,131.765","46,817.49",0.00,0,0.000,"3,464.06",0,0,0,0,1,18.000,"1,793.03",1,18.000,"5,257.09",146,241.770,"3,468.66",69,75,0,0,19,69.950,"2,098.27",0,165,311.720,"5,566.93",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Aligarh,2007 - 2008,0,0.000,0.00,0,0,0,0,18,168.850,"5,897.28",0,18,168.850,"5,897.28",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,150,248.065,"3,579.33",69,79,0,0,104,883.700,"43,238.16",0,254,"1,131.765","46,817.49",0.00,0,0.000,"3,464.06",0,0,0,0,1,18.000,"1,793.03",1,18.000,"5,257.09",146,241.770,"3,468.66",69,75,0,0,19,69.950,"2,098.27",0,165,311.720,"5,566.93",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttar Pradesh     District: All Districts     Block: All Blocks     Year: 2009     Month: January     Collaboration: All Collaborations     Agency:  Uttar Pradesh Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Aligarh,2012 - 2013,0,0.000,0.00,0,0,0,0,9,107.050,"4,079.88",0,9,107.050,"4,079.88",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,150,248.065,"3,579.33",69,79,0,0,104,883.700,"43,238.16",0,254,"1,131.765","46,817.49",0.00,0,0.000,"3,464.06",0,0,0,0,1,18.000,"1,793.03",1,18.000,"5,257.09",146,241.770,"3,468.66",69,75,0,0,19,69.950,"2,098.27",0,165,311.720,"5,566.93",Grand Total,"11,619","21,324.028","4,68,014.72","5,817","5,793",139,0,"9,503","56,079.213","28,66,053.66",17,"21,122","77,403.241","33,34,068.38",0.00,62,110.045,"2,93,013.87",24,37,1,0,43,249.179,"1,59,222.72",105,359.224,"4,52,236.59","9,093","16,238.326","2,97,168.46","5,138","3,758",46,0,"2,777","6,117.660","1,78,797.73",0,"11,870","22,355.986","4,75,966.19","Page 1 of 1     Generated on : 14/03/2025 02:01 AM     2014 NRRDA, All rights reserved"
